name,id,race,flavors1,flavors2,flavors3,positiveeffects1,positiveeffects2,positiveeffects3,positiveeffects4,positiveeffects5,negativeeffects1,negativeeffects2,negativeeffects3,negativeeffects4,negativeeffects5,medicaleffects1,medicaleffects2,medicaleffects3,medicaleffects4,medicaleffects5,medicaleffects6
Cactus Cooler,454,hybrid,Citrus,Sweet,Chemical,Euphoric,Creative,Energetic,Uplifted,Focused,,,,,,Depression,Pain,Stress,Nausea,Headaches,
Cadillac Purple,455,indica,Grape,Sweet,Citrus,Relaxed,Happy,Uplifted,Sleepy,,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Insomnia,Pain,Stress,Headache,Inflammation
Cali Gold,456,hybrid,Earthy,Skunk,Woody,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Fatigue,Headaches,
Cali Jack,457,hybrid,Diesel,Skunk,Sweet,Happy,Creative,Talkative,Sleepy,Aroused,,,,,,Depression,Insomnia,Stress,Nausea,Headache,Headaches
Cali Kush,458,hybrid,Sweet,Earthy,Woody,Relaxed,Euphoric,Happy,Uplifted,,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Headache,Headaches
California Grapefruit,459,indica,Citrus,Grapefruit,Pear,Relaxed,Euphoric,Happy,Uplifted,Tingly,Dry Mouth,Paranoid,,,,Depression,Insomnia,Cramps,Fatigue,Eye Pressure,
California Orange,461,hybrid,Orange,Citrus,Sweet,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Headache,Fatigue,Headaches
California Sour,462,hybrid,Lemon,Citrus,Diesel,Relaxed,Euphoric,Energetic,Focused,,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Stress,Lack of Appetite,Muscle Spasms,
Cambodian,463,sativa,Earthy,Tropical,Flowery,Relaxed,Euphoric,Happy,Energetic,Talkative,,,,,,Fatigue,,,,,
Cambodian Haze,464,sativa,Citrus,Sweet,Lemon,Euphoric,Happy,Creative,Aroused,,Dry Eyes,,,,,Depression,Stress,Nausea,Headaches,Eye Pressure,
Candy Cane,465,indica,Sweet,Mint,Pepper,Relaxed,Happy,Creative,Tingly,Sleepy,Dizzy,Dry Mouth,Dry Eyes,,,Depression,Insomnia,Pain,Stress,Lack of Appetite,
Candy Jack,466,sativa,Sweet,Skunk,Earthy,Euphoric,Happy,Creative,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
Candyland,467,sativa,Sweet,Earthy,Pungent,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Fatigue,Headaches,
Canna-Tsu,468,hybrid,Earthy,Woody,Spicy/Herbal,Relaxed,Happy,Talkative,Uplifted,Focused,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Pain,Stress,Inflammation,Muscle Spasms,
CannaSutra,469,indica,Earthy,Pungent,,Relaxed,Hungry,Euphoric,Uplifted,Aroused,Dry Mouth,,,,,Depression,Insomnia,Pain,Stress,,
Cannadential,470,hybrid,Earthy,Pungent,Diesel,Relaxed,Euphoric,Happy,Uplifted,,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Insomnia,Pain,Stress,Headache,Headaches,Inflammation
Cannalope Haze,471,sativa,Tropical,Sweet,Earthy,Relaxed,Euphoric,Happy,Uplifted,Focused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Lack of Appetite,Headache,Headaches
Cannalope Kush,472,hybrid,Sweet,Tropical,Pine,Euphoric,Happy,Energetic,Uplifted,Focused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Fatigue,Headaches,
Cannatonic,473,hybrid,Earthy,Pine,Citrus,Relaxed,Euphoric,Happy,Uplifted,Focused,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Pain,Stress,Headache,Inflammation,Muscle Spasms
Capers,474,indica,Pungent,Skunk,Earthy,Relaxed,Hungry,Happy,Uplifted,Sleepy,Dry Mouth,,,,,Insomnia,Pain,Lack of Appetite,Nausea,Muscle Spasms,
Captain America OG,476,hybrid,Diesel,Berry,Citrus,Relaxed,Hungry,Euphoric,Creative,Uplifted,,,,,,Depression,Pain,Stress,Eye Pressure,,
Captain's Cake,477,hybrid,Sweet,Berry,Earthy,Relaxed,Hungry,Euphoric,Happy,Uplifted,Dry Eyes,,,,,Depression,Insomnia,Pain,Stress,Fatigue,
Caramel Candy Kush,478,hybrid,Sweet,Coffee,Earthy,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dry Mouth,,,,,Depression,Pain,Stress,Fatigue,Headaches,
Caramel Kona Coffee Kush,479,indica,Coffee,Earthy,Flowery,Relaxed,Euphoric,Happy,Creative,Aroused,,,,,,Depression,Pain,Stress,,,
Caramelicious,480,hybrid,Sweet,Vanilla,Coffee,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Insomnia,Pain,Stress,Headache,Inflammation,Muscle Spasms
Caramella,481,indica,Earthy,Pine,Pungent,Relaxed,Euphoric,Aroused,,,Dry Eyes,,,,,Insomnia,Pain,Eye Pressure,Spasticity,,
Caramelo,482,sativa,Sweet,Flowery,Lavender,Euphoric,Happy,Energetic,Uplifted,Focused,,,,,,Depression,Pain,Stress,Lack of Appetite,Fatigue,
Carl Sagan,483,hybrid,Skunk,Sweet,Chemical,Euphoric,Happy,Creative,Energetic,Aroused,Dry Mouth,Dry Eyes,,,,Depression,Pain,Stress,Fatigue,Muscle Spasms,
Carnival,484,sativa,Earthy,Pine,,Hungry,Euphoric,Happy,Talkative,Giggly,Dizzy,,,,,Depression,Insomnia,Lack of Appetite,Headache,Fatigue,Eye Pressure
Cascadia Kush,485,indica,Earthy,Flowery,Sweet,Relaxed,Euphoric,Happy,Tingly,Sleepy,,,,,,Depression,Insomnia,Pain,Stress,Headaches,
Casey Jones,486,sativa,Earthy,Sweet,Woody,Euphoric,Happy,Creative,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Headache,Fatigue,Inflammation
Cashus Clay,487,hybrid,Berry,Pine,Sweet,Euphoric,Creative,Energetic,Focused,Aroused,,,,,,Depression,Insomnia,Pain,Stress,Fatigue,
Casper OG,488,indica,Earthy,Pungent,Sweet,Relaxed,Hungry,Euphoric,Happy,Giggly,,,,,,Depression,Insomnia,Stress,,,
Cat Piss,489,sativa,Pungent,Pine,Earthy,Relaxed,Happy,Creative,Energetic,Focused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Lack of Appetite,Headaches,
Cataract Kush,490,hybrid,Pungent,Spicy/Herbal,Lemon,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Inflammation,
Catfish,491,sativa,Earthy,Ammonia,Chemical,Euphoric,Happy,Creative,Energetic,Uplifted,,,,,,Depression,Pain,Stress,Lack of Appetite,Nausea,
Cello Sweet OG,492,hybrid,Sweet,Honey,Pineapple,Relaxed,Euphoric,Creative,Sleepy,,Dizzy,,,,,Fatigue,,,,,
Central American,493,sativa,Earthy,Butter,Diesel,Relaxed,Hungry,Euphoric,Happy,,Dry Mouth,,,,,Pain,Stress,Headaches,,,
Cerebro Haze,494,sativa,Citrus,Pepper,Vanilla,Relaxed,Happy,Creative,Uplifted,,Dry Eyes,,,,,Depression,Stress,Lack of Appetite,,,
Chairman Chem Sou,495,hybrid,Chemical,Citrus,Diesel,Euphoric,Happy,Creative,Energetic,Uplifted,,,,,,Depression,Insomnia,Pain,Stress,Muscle Spasms,
Champagne Kush,496,hybrid,Earthy,Sweet,Pungent,Relaxed,Euphoric,Happy,Talkative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Cramps,Nausea,Headache
Charlie Sheen,497,hybrid,Sweet,Citrus,Blueberry,Relaxed,Euphoric,Happy,Uplifted,Focused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Headaches,Eye Pressure,
Charlotte's Web,498,sativa,Pine,Earthy,Sweet,Relaxed,Happy,Uplifted,Sleepy,Focused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Nausea,Headache
Cheese,499,hybrid,Cheese,Pungent,Earthy,Relaxed,Hungry,Euphoric,Happy,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Lack of Appetite,Nausea,Headache
Cheese Candy,500,hybrid,Cheese,Earthy,Sweet,Relaxed,Euphoric,Happy,Talkative,Uplifted,Dizzy,Dry Mouth,Paranoid,Anxious,,Depression,Pain,Stress,Lack of Appetite,Fatigue,
Cheese Quake,501,hybrid,Cheese,Earthy,Pungent,Relaxed,Euphoric,Happy,Uplifted,Tingly,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Headache,Headaches,Inflammation
Cheeseburger,502,hybrid,Earthy,Cheese,Coffee,Relaxed,Uplifted,Tingly,Giggly,,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Pain,Stress,Eye Pressure,Inflammation,
Cheesewreck,503,hybrid,Cheese,Blue Cheese,Woody,Relaxed,Happy,Creative,Uplifted,Giggly,Dizzy,Dry Mouth,Paranoid,Anxious,,Depression,Insomnia,Pain,Stress,Fatigue,
Chem Crush,504,hybrid,Sweet,Earthy,Pungent,Happy,Creative,Energetic,Talkative,Uplifted,,,,,,Depression,Pain,Lack of Appetite,,,
Chem D.O.G.,505,indica,Citrus,Earthy,Lemon,Relaxed,Hungry,Happy,Sleepy,,Dry Mouth,,,,,Depression,Insomnia,Pain,Stress,,
Chem Scout,507,indica,Earthy,Sweet,Skunk,Relaxed,Euphoric,Happy,Creative,Uplifted,Dry Mouth,Paranoid,Dry Eyes,,,Depression,Insomnia,Pain,Stress,Fatigue,
Chem Valley Kush,508,hybrid,Earthy,Flowery,Grape,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
Chem's Sister,509,sativa,Chemical,Pungent,Citrus,Relaxed,Euphoric,Happy,Creative,Focused,Dry Mouth,Dry Eyes,Anxious,,,Depression,Stress,Lack of Appetite,Fatigue,Eye Pressure,
ChemWreck,510,hybrid,Diesel,Chemical,Pungent,Happy,Energetic,Talkative,Uplifted,Giggly,,,,,,Depression,Pain,Stress,Headaches,Inflammation,
Chemdawg,511,hybrid,Diesel,Earthy,Pungent,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
Chemdawg #4 x Alien OG Kush,512,hybrid,Skunk,Earthy,Citrus,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dry Mouth,,,,,Depression,Pain,Stress,Fatigue,Headaches,
Chemdawg 4,513,hybrid,Pungent,Pine,Earthy,Relaxed,Euphoric,Happy,Uplifted,Aroused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Headaches,Muscle Spasms,
Chemdawg 91,514,hybrid,Pungent,Earthy,Diesel,Relaxed,Euphoric,Happy,Creative,Uplifted,Dry Mouth,Paranoid,Dry Eyes,,,Depression,Insomnia,Pain,Stress,Nausea,Headache
Chemdawg Sour Diesel,515,hybrid,Diesel,Earthy,Pungent,Relaxed,Happy,Creative,Energetic,Uplifted,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Pain,Stress,Lack of Appetite,Fatigue,
Chemmy Jones,516,hybrid,Diesel,Earthy,Pungent,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dry Mouth,Dry Eyes,,,,Depression,Pain,Stress,Lack of Appetite,Fatigue,
Chemnesia,517,hybrid,Citrus,Diesel,Lemon,Relaxed,Euphoric,Happy,Energetic,Uplifted,,,,,,Depression,Pain,Fatigue,Headaches,Inflammation,
Chemo,518,indica,Earthy,Pungent,Woody,Relaxed,Hungry,Euphoric,Happy,Sleepy,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Insomnia,Pain,Stress,Lack of Appetite,Nausea,Headache
Chernobyl,520,hybrid,Citrus,Lime,Lemon,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Lack of Appetite,Headache,Headaches
Cherries Jubilee,521,indica,Berry,Sweet,Tree Fruit,Relaxed,Euphoric,Happy,Creative,Uplifted,Dry Mouth,,,,,Depression,Pain,Stress,Nausea,Fatigue,
Cherry AK-47,522,hybrid,Sweet,Berry,Earthy,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Lack of Appetite,Headache,Headaches
Cherry Bomb,523,hybrid,Citrus,Flowery,Violet,Relaxed,Happy,Creative,Uplifted,Focused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
Cherry Cookies,524,hybrid,Berry,Sweet,Earthy,Relaxed,Euphoric,Happy,Energetic,Uplifted,,,,,,Depression,Pain,Cramps,Lack of Appetite,Nausea,
Cherry Cream Pie,525,hybrid,Pungent,Sweet,Citrus,Relaxed,Hungry,Euphoric,Happy,Uplifted,,,,,,Depression,Lack of Appetite,,,,
Cherry Diesel,526,hybrid,Berry,Sweet,Diesel,Relaxed,Euphoric,Happy,Uplifted,Focused,Dizzy,,,,,Depression,Insomnia,Pain,Stress,Headaches,
Cherry Durban Poison,527,hybrid,Berry,Sweet,Pungent,Euphoric,Happy,Creative,Energetic,Talkative,Dizzy,Dry Mouth,Dry Eyes,,,Depression,Pain,Stress,Headache,Headaches,Inflammation
Cherry Grapefruit,528,hybrid,Berry,Butter,Grape,Relaxed,Happy,Creative,Focused,,,,,,,Stress,Cramps,Lack of Appetite,,,
Cherry Kola,529,indica,Berry,Sweet,Earthy,Relaxed,Euphoric,Happy,Uplifted,Focused,Dizzy,Dry Mouth,Paranoid,Anxious,,Depression,Insomnia,Pain,Stress,Lack of Appetite,
Cherry Kush,530,hybrid,Berry,Earthy,Pungent,Relaxed,Hungry,Euphoric,Sleepy,,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Headache,Inflammation,Muscle Spasms
Cherry Limeade,531,hybrid,Berry,Sweet,Citrus,Relaxed,Euphoric,Happy,Creative,Uplifted,Dry Mouth,,,,,Insomnia,Pain,Stress,Lack of Appetite,Inflammation,
Cherry OG,532,hybrid,Berry,Earthy,Diesel,Relaxed,Euphoric,Happy,Creative,Uplifted,Dry Mouth,Anxious,,,,Depression,Pain,Stress,Lack of Appetite,Headache,Muscle Spasms
Cherry Pie,533,hybrid,Sweet,Berry,Earthy,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
Cherry Pie Kush,534,hybrid,Berry,Earthy,Sweet,Euphoric,Happy,Talkative,Uplifted,Sleepy,Dizzy,Paranoid,Anxious,,,Depression,Pain,Stress,Lack of Appetite,Headaches,
Cherry Sauce,535,hybrid,Butter,Flowery,Spicy/Herbal,Euphoric,Happy,Creative,Energetic,Focused,Dry Mouth,Dry Eyes,,,,,,,,,
Cherry Sherbet,536,hybrid,Sweet,Diesel,Pungent,Relaxed,Hungry,Sleepy,Giggly,,Dry Mouth,,,,,Depression,Pain,Stress,Cramps,Lack of Appetite,
Cherry Skunk,537,hybrid,Sweet,Berry,Skunk,Relaxed,Euphoric,Creative,Uplifted,Focused,Dizzy,Dry Mouth,Dry Eyes,,,Depression,Pain,Stress,Lack of Appetite,Headaches,
Cherry Thunder Fuck,538,hybrid,Earthy,Berry,Pungent,Relaxed,Euphoric,Happy,Uplifted,Aroused,,,,,,Depression,Pain,Stress,Fatigue,Muscle Spasms,
Chiesel,539,hybrid,Cheese,Diesel,Pungent,Relaxed,Happy,Creative,Uplifted,Focused,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Headache,Fatigue,Headaches
China Yunnan,540,indica,Earthy,Cheese,Sweet,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Stress,Lack of Appetite,Headaches,
Chiquita Banana,541,hybrid,Sweet,Orange,Citrus,Relaxed,Euphoric,Happy,Uplifted,Focused,Dry Mouth,Paranoid,Dry Eyes,,,Depression,Insomnia,Stress,Lack of Appetite,Muscle Spasms,
Chloe,542,hybrid,Sweet,Earthy,Spicy/Herbal,Relaxed,Euphoric,Happy,Creative,Uplifted,Dry Eyes,,,,,Depression,Insomnia,Pain,Inflammation,Muscle Spasms,
Chocolate Chunk,544,indica,Earthy,Sweet,Woody,Relaxed,Euphoric,Happy,Sleepy,,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Headache,Fatigue
Chocolate Diesel,545,sativa,Diesel,Nutty,Pine,Euphoric,Happy,Creative,Energetic,Uplifted,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Nausea,Fatigue,
Chocolate Drop,546,hybrid,Earthy,Vanilla,,Relaxed,Euphoric,Happy,Uplifted,Giggly,,,,,,Depression,Stress,,,,
Chocolate Fondue,547,sativa,Cheese,Earthy,Sweet,Euphoric,Happy,Creative,Uplifted,Focused,Dry Mouth,Dry Eyes,,,,Depression,Stress,Lack of Appetite,Nausea,Fatigue,
Chocolate Hashberry,548,hybrid,Berry,Sweet,Earthy,Relaxed,Euphoric,Happy,Creative,Uplifted,Dry Mouth,Dry Eyes,,,,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
Chocolate Kush,549,indica,Earthy,Coffee,Tea,Relaxed,Euphoric,Happy,Creative,Uplifted,Dry Mouth,Dry Eyes,,,,Insomnia,Pain,Stress,Lack of Appetite,Headaches,
Chocolate OG,551,indica,Sweet,Earthy,Pungent,Relaxed,Euphoric,Happy,Uplifted,Sleepy,,,,,,Depression,Pain,Stress,Headaches,Inflammation,
Chocolate Thai,552,sativa,Spicy/Herbal,Earthy,Woody,Relaxed,Happy,Creative,Uplifted,Focused,Dry Mouth,Paranoid,Dry Eyes,,,Depression,Insomnia,Pain,Stress,Nausea,
Chocolate Thunder,553,sativa,Honey,Nutty,Apricot,Happy,Creative,Energetic,Uplifted,Focused,Dry Mouth,Paranoid,,,,Depression,Stress,Fatigue,Headaches,Inflammation,
Chocolope,555,sativa,Coffee,Earthy,Sweet,Euphoric,Happy,Creative,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Fatigue,Muscle Spasms,
Chocolope Kush,556,hybrid,Earthy,Pungent,Pine,Relaxed,Euphoric,Happy,Creative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Headache,Inflammation,Muscle Spasms
Chong Star,557,hybrid,Earthy,Honey,Flowery,Relaxed,Happy,Creative,Uplifted,Focused,,,,,,Depression,Pain,Stress,Nausea,Headaches,
Chronic,558,hybrid,Skunk,Woody,Pungent,Happy,Energetic,Talkative,Uplifted,Giggly,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Insomnia,Pain,Stress,Lack of Appetite,
Chronic Thunder,559,indica,Diesel,Pungent,Earthy,Relaxed,Hungry,Euphoric,Happy,Sleepy,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Insomnia,Pain,Stress,Lack of Appetite,Muscle Spasms,
Chucky's Bride,560,hybrid,Ammonia,Butter,Cheese,Happy,Creative,Giggly,Aroused,,Dry Mouth,,,,,Depression,Insomnia,Pain,Stress,,
Chunky Diesel,561,hybrid,Diesel,Earthy,Pungent,Relaxed,Euphoric,Happy,Energetic,Uplifted,,,,,,Depression,Pain,Stress,Fatigue,Inflammation,
Chupacabra,562,hybrid,Earthy,Vanilla,Nutty,Relaxed,Happy,Energetic,Uplifted,Focused,,,,,,Depression,Pain,Stress,Nausea,Headaches,
Church OG,563,indica,Earthy,Woody,Spicy/Herbal,Relaxed,Euphoric,Happy,Uplifted,Focused,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Insomnia,Pain,Stress,Fatigue,Spasticity,
Cinderella 99,564,hybrid,Sweet,Citrus,Pungent,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,Depression,Pain,Stress,Fatigue,Headaches,
Cinderella's Dream,565,hybrid,Sweet,Berry,Tropical,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dry Mouth,Dry Eyes,,,,Depression,Pain,Stress,Lack of Appetite,Fatigue,
Cindy White,566,hybrid,Earthy,Pungent,Berry,Euphoric,Happy,Creative,Energetic,Uplifted,Dry Mouth,,,,,Depression,Insomnia,Pain,Stress,Headache,Fatigue
Cinex,567,sativa,Citrus,Earthy,Sweet,Euphoric,Happy,Energetic,Uplifted,Focused,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Headache,Fatigue,Headaches
Cirrus,568,sativa,Diesel,Menthol,Pungent,Euphoric,Creative,Talkative,Giggly,,Dry Mouth,,,,,Depression,Nausea,Fatigue,Headaches,Inflammation,
Citrix,569,hybrid,Citrus,Grapefruit,Orange,Euphoric,Happy,Energetic,Uplifted,Aroused,Dry Mouth,Paranoid,Anxious,,,Depression,Stress,Lack of Appetite,Nausea,Fatigue,
Citrus Kush,570,hybrid,Citrus,Lemon,Sweet,Relaxed,Euphoric,Happy,Uplifted,Tingly,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Pain,Stress,Lack of Appetite,Nausea,Headache,Fatigue
Citrus Punch,571,sativa,Citrus,Orange,Mango,Happy,Energetic,Focused,,,Dizzy,Dry Mouth,Anxious,,,Depression,Fatigue,,,,
Citrus Sap,572,hybrid,Citrus,Orange,Pungent,Relaxed,Euphoric,Happy,Uplifted,Focused,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Headache,Headaches,Inflammation
Citrus Sunshine Haze,573,hybrid,Citrus,Orange,Lemon,Happy,Creative,Energetic,Uplifted,Focused,Dry Mouth,,,,,Depression,Pain,Stress,Fatigue,Headaches,
Clementine,574,sativa,Citrus,Orange,Sweet,Relaxed,Euphoric,Happy,Energetic,Uplifted,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Pain,Stress,Lack of Appetite,Headache,Headaches
Clementine Kush,575,hybrid,Citrus,Earthy,Flowery,Relaxed,Euphoric,Happy,Tingly,Giggly,Dizzy,Paranoid,Anxious,,,Depression,Insomnia,Stress,Lack of Appetite,Inflammation,
Clockwork Orange,576,hybrid,Citrus,Lemon,Orange,Relaxed,Hungry,Uplifted,,,Dry Mouth,Dry Eyes,,,,Depression,Pain,Stress,Lack of Appetite,,
Cloud 9,577,hybrid,Flowery,Pine,Rose,Relaxed,Happy,Energetic,Talkative,Giggly,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Nausea,Headache
Club 69,578,indica,Diesel,Earthy,Flowery,Relaxed,Sleepy,,,,,,,,,Pain,Stress,,,,
Cluster Bomb,579,hybrid,Sweet,,,Relaxed,Euphoric,Energetic,Focused,,Dizzy,,,,,Stress,Headaches,,,,
Cold Creek Kush,580,hybrid,Earthy,Woody,Pine,Relaxed,Euphoric,Happy,Uplifted,Tingly,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms
Colombian Gold,581,sativa,Earthy,Pungent,Citrus,Euphoric,Happy,Energetic,Talkative,Uplifted,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
Colombian Mojito,582,sativa,Citrus,Lime,Minty,Euphoric,Creative,Energetic,Aroused,,Anxious,,,,,Pain,Nausea,Headaches,,,
Colorado Bubba,583,indica,Mango,Pineapple,Nutty,Relaxed,Happy,Uplifted,Sleepy,,Dry Mouth,,,,,Depression,Pain,Stress,Lack of Appetite,Muscle Spasms,
Colorado Chem,584,hybrid,Skunk,Sweet,Citrus,Relaxed,Euphoric,Happy,Energetic,Giggly,Dry Mouth,,,,,Depression,Insomnia,Pain,Stress,Headaches,
Colorado Clementines,585,indica,Citrus,Lemon,Orange,Relaxed,Hungry,Euphoric,Creative,Sleepy,,,,,,Depression,Insomnia,Pain,Stress,Lack of Appetite,
Commerce City Kush,586,indica,Diesel,Earthy,Pungent,Relaxed,Hungry,Euphoric,Happy,Creative,,,,,,Insomnia,Pain,Stress,Lack of Appetite,Headaches,
Concord Grape Blockhead,587,hybrid,Grape,Sweet,,Euphoric,Creative,Giggly,,,Dry Mouth,Dry Eyes,,,,Depression,Insomnia,Cramps,Lack of Appetite,Muscle Spasms,
Confidential Cheese,588,indica,Cheese,Pine,Nutty,Relaxed,Hungry,Happy,Creative,Sleepy,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Depression,Insomnia,Pain,Stress,Headaches,
Connie Chung,590,hybrid,Earthy,Pine,Sweet,Relaxed,Euphoric,Happy,Sleepy,Focused,Dizzy,Dry Mouth,Dry Eyes,,,Depression,Insomnia,Pain,Stress,Lack of Appetite,
Conspiracy Kush,591,indica,Sweet,Earthy,Pungent,Relaxed,Euphoric,Happy,Creative,,Dizzy,Dry Mouth,Dry Eyes,,,Insomnia,Pain,Stress,Headaches,Inflammation,
Cookie Breath,592,hybrid,Earthy,Sweet,Minty,Relaxed,Euphoric,Happy,Uplifted,Giggly,,,,,,Depression,Pain,Stress,Fatigue,Inflammation,
Cookie Dough,593,hybrid,Earthy,Sweet,Pungent,Relaxed,Happy,Uplifted,Focused,,Dry Eyes,,,,,Depression,Pain,Stress,Lack of Appetite,Headaches,
Cookie Jar,594,hybrid,Pungent,Earthy,Flowery,Relaxed,Hungry,Euphoric,Uplifted,Sleepy,,,,,,Depression,Pain,Stress,Lack of Appetite,Headaches,
Cookie Monster,595,indica,Flowery,Sweet,Earthy,Relaxed,Euphoric,Happy,Creative,Sleepy,Dizzy,Dry Mouth,Dry Eyes,Anxious,,Insomnia,Pain,Stress,Headache,Eye Pressure,Spasticity
Cookie Wreck,596,hybrid,Sweet,Earthy,Woody,Relaxed,Euphoric,Happy,Creative,Focused,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Pain,Stress,Nausea,Headache,Muscle Spasms
Cookies Kush,597,indica,Sweet,Pungent,Earthy,Relaxed,Euphoric,Happy,Sleepy,,Dizzy,Dry Mouth,Paranoid,Dry Eyes,,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
Cookies and Cream,598,hybrid,Sweet,Vanilla,Nutty,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dry Mouth,Paranoid,Dry Eyes,Anxious,,Depression,Insomnia,Pain,Stress,Nausea,
Cookies and Dream,599,hybrid,Sweet,Tree Fruit,Blueberry,Relaxed,Euphoric,Happy,Energetic,Uplifted,,,,,,Pain,Stress,Lack of Appetite,Fatigue,Headaches,
Copper Kush,600,indica,Earthy,Pine,Pungent,Relaxed,Euphoric,Happy,Uplifted,Focused,Dizzy,,,,,Depression,Pain,Stress,Cramps,Headaches,
