id,medicaleffects1,medicaleffects2,medicaleffects3,medicaleffects4,medicaleffects5,medicaleffects6
583,Depression,Pain,Stress,Lack of Appetite,Muscle Spasms,
584,Depression,Insomnia,Pain,Stress,Headaches,
585,Depression,Insomnia,Pain,Stress,Lack of Appetite,
586,Insomnia,Pain,Stress,Lack of Appetite,Headaches,
587,Depression,Insomnia,Cramps,Lack of Appetite,Muscle Spasms,
588,Depression,Insomnia,Pain,Stress,Headaches,
590,Depression,Insomnia,Pain,Stress,Lack of Appetite,
591,Insomnia,Pain,Stress,Headaches,Inflammation,
592,Depression,Pain,Stress,Fatigue,Inflammation,
593,Depression,Pain,Stress,Lack of Appetite,Headaches,
594,Depression,Pain,Stress,Lack of Appetite,Headaches,
595,Insomnia,Pain,Stress,Headache,Eye Pressure,Spasticity
596,Depression,Pain,Stress,Nausea,Headache,Muscle Spasms
597,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
598,Depression,Insomnia,Pain,Stress,Nausea,
599,Pain,Stress,Lack of Appetite,Fatigue,Headaches,
600,Depression,Pain,Stress,Cramps,Headaches,
601,Depression,Pain,Stress,Headache,Spasticity,Muscle Spasms
602,Depression,Insomnia,Pain,Stress,Lack of Appetite,
603,,,,,,
604,Depression,Pain,Stress,Lack of Appetite,Fatigue,
605,Depression,Stress,Fatigue,Headaches,Muscle Spasms,
606,Depression,Pain,Stress,Fatigue,Headaches,
607,Depression,Pain,Stress,Fatigue,Eye Pressure,
608,Depression,Pain,Nausea,Eye Pressure,Inflammation,
609,Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms
610,Depression,Insomnia,Pain,Stress,Eye Pressure,
611,Depression,Insomnia,Stress,Cramps,Inflammation,
612,Depression,Insomnia,Stress,Inflammation,Spasticity,
613,Depression,Pain,Stress,Fatigue,Headaches,
614,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
615,Depression,Insomnia,Pain,Stress,Lack of Appetite,
616,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
617,Depression,Stress,Fatigue,Inflammation,Muscle Spasms,
618,Depression,Insomnia,Pain,Stress,Lack of Appetite,
619,Depression,Insomnia,Pain,Stress,Inflammation,
620,Depression,Insomnia,Stress,Nausea,Headache,Headaches
621,Fatigue,,,,,
622,Depression,Pain,Stress,Cramps,Muscle Spasms,
624,Depression,Pain,Stress,Cramps,Inflammation,
625,Depression,Pain,Stress,,,
627,Depression,Pain,Nausea,Eye Pressure,Inflammation,
628,Pain,Stress,Nausea,Inflammation,Muscle Spasms,
629,Depression,Insomnia,Pain,Stress,Lack of Appetite,
630,Insomnia,Pain,Stress,Lack of Appetite,Muscle Spasms,
631,Depression,Insomnia,Stress,Lack of Appetite,Nausea,
632,Depression,Pain,Stress,Fatigue,Headaches,
633,Depression,Pain,Stress,Lack of Appetite,Headaches,
634,Muscle Spasms,,,,,
635,Insomnia,Pain,Stress,Nausea,Headaches,
636,Depression,Pain,Stress,Cramps,Headaches,
638,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
639,,,,,,
640,Depression,Pain,Stress,Nausea,Headache,Fatigue
641,Depression,Insomnia,Pain,Stress,Eye Pressure,
642,Depression,Pain,Cramps,Nausea,Headaches,
643,Depression,Pain,Stress,Lack of Appetite,Fatigue,
644,Depression,Pain,Stress,Lack of Appetite,Inflammation,
645,Depression,Pain,Stress,Cramps,Inflammation,
646,Depression,Insomnia,Pain,Stress,Headache,Inflammation
647,Depression,Fatigue,,,,
648,Depression,Insomnia,Pain,Stress,Nausea,Headache
649,Depression,Stress,Lack of Appetite,Fatigue,Headaches,
650,Depression,Insomnia,Pain,Stress,Headaches,
651,Depression,Insomnia,Pain,Stress,Headache,Headaches
652,Insomnia,Pain,Fatigue,Eye Pressure,Muscle Spasms,
653,Depression,Insomnia,Pain,Stress,Headache,Inflammation
654,Insomnia,Pain,Stress,Fatigue,Muscle Spasms,
655,Insomnia,Pain,,,,
656,Insomnia,Pain,Nausea,Fatigue,Muscle Spasms,
657,Depression,Insomnia,Pain,Stress,Headache,Fatigue
658,Pain,Stress,Muscle Spasms,,,
659,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
660,Depression,Insomnia,Pain,Stress,Muscle Spasms,
661,Depression,Insomnia,Pain,Stress,Lack of Appetite,
662,Cramps,Lack of Appetite,Nausea,Fatigue,,
663,Insomnia,Pain,Stress,Fatigue,Eye Pressure,
664,Depression,Insomnia,Pain,Stress,Headache,Inflammation
665,Insomnia,Pain,Stress,Lack of Appetite,Headache,Muscle Spasms
666,Depression,Pain,Stress,Headache,Fatigue,Inflammation
667,Depression,Stress,Cramps,Headaches,Eye Pressure,
668,Depression,Pain,Stress,Nausea,Spasticity,
669,Depression,Insomnia,Stress,Cramps,Fatigue,
670,Depression,Insomnia,Pain,Stress,Spasticity,
671,Depression,Lack of Appetite,Fatigue,Headaches,Inflammation,
672,Depression,Insomnia,Pain,Stress,Nausea,Headache
673,Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms
675,Depression,Stress,Cramps,Fatigue,Eye Pressure,
676,Depression,Pain,Stress,Headache,Headaches,Muscle Spasms
677,Depression,Pain,Stress,Headaches,Inflammation,
678,Depression,Pain,Stress,Cramps,Inflammation,
679,Depression,Stress,,,,
680,Depression,Pain,Stress,Fatigue,Eye Pressure,
682,Depression,Stress,Lack of Appetite,Fatigue,,
683,Depression,Stress,Fatigue,Headaches,Inflammation,
684,Depression,Insomnia,Stress,Cramps,Nausea,
685,Depression,Insomnia,Stress,Fatigue,Muscle Spasms,
687,Depression,Insomnia,Pain,Stress,Lack of Appetite,
688,Pain,Nausea,Headaches,Inflammation,Muscle Spasms,
689,Depression,Pain,Stress,Headache,Headaches,Muscle Spasms
690,Depression,Insomnia,Pain,Stress,Lack of Appetite,
691,Fatigue,,,,,
693,Depression,Stress,Fatigue,Headaches,,
694,Depression,Insomnia,Stress,Fatigue,,
695,Depression,Insomnia,Pain,Stress,Lack of Appetite,
696,Headaches,Eye Pressure,,,,
697,Depression,Pain,Stress,Inflammation,Muscle Spasms,
698,Depression,Pain,Stress,Nausea,Headache,Headaches
699,Pain,Stress,Inflammation,,,
700,Depression,Headache,,,,
701,Depression,Insomnia,Stress,Lack of Appetite,Headache,Headaches
702,Depression,Insomnia,Pain,Stress,Inflammation,
703,Depression,Stress,Lack of Appetite,Nausea,Inflammation,
705,Insomnia,Pain,Headache,Headaches,Eye Pressure,Muscle Spasms
706,Pain,Stress,Headaches,Inflammation,Muscle Spasms,
707,Depression,Pain,Stress,Lack of Appetite,Headaches,
710,Depression,Insomnia,Stress,Cramps,Eye Pressure,
711,Insomnia,Pain,Stress,Headaches,Muscle Spasms,
712,Depression,Pain,Stress,Lack of Appetite,Fatigue,
713,Depression,Insomnia,Pain,Stress,Headache,Headaches
714,Depression,Stress,Spasticity,,,
715,Depression,Insomnia,Pain,Stress,Muscle Spasms,
716,Depression,Pain,Stress,,,
717,Pain,Fatigue,Spasticity,Seizures,Muscle Spasms,
718,Depression,Insomnia,Pain,Stress,Nausea,
719,Depression,Pain,Stress,Lack of Appetite,Headaches,
720,Depression,Insomnia,Pain,Stress,Inflammation,
721,Depression,Insomnia,Pain,Stress,Headaches,
722,Insomnia,Pain,Stress,Lack of Appetite,Nausea,
723,Depression,Lack of Appetite,Fatigue,Seizures,Muscle Spasms,
724,Depression,Stress,Cramps,Fatigue,Headaches,
725,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
726,Depression,Stress,Lack of Appetite,Headaches,Eye Pressure,
727,Pain,Stress,Cramps,Nausea,Headache,Fatigue
728,Depression,Pain,Stress,Headaches,Inflammation,
729,Depression,Pain,Stress,Headache,Fatigue,Headaches
730,Stress,Lack of Appetite,Nausea,Headaches,Inflammation,
731,Depression,Stress,Lack of Appetite,,,
732,Depression,Pain,Stress,Lack of Appetite,Headache,Muscle Spasms
733,Depression,Stress,Lack of Appetite,Nausea,Headache,Fatigue
734,,,,,,
735,Depression,Insomnia,Stress,Lack of Appetite,,
736,Depression,Stress,Headache,Fatigue,Headaches,Eye Pressure
737,Depression,Pain,Stress,Fatigue,Headaches,
738,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
739,Depression,Pain,Stress,Fatigue,Inflammation,
740,Depression,Pain,Stress,Lack of Appetite,Headaches,
741,Depression,Pain,Stress,Cramps,Headache,Inflammation
742,Depression,Pain,Stress,Inflammation,Muscle Spasms,
743,Depression,Lack of Appetite,,,,
744,Nausea,Eye Pressure,,,,
745,Depression,Insomnia,Pain,Stress,Eye Pressure,
746,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
747,Depression,Pain,Stress,Fatigue,Eye Pressure,
748,Insomnia,Pain,Lack of Appetite,Nausea,Headaches,
749,Depression,Insomnia,Stress,Lack of Appetite,Fatigue,
750,Depression,Pain,Stress,Fatigue,Eye Pressure,
751,Insomnia,Lack of Appetite,Fatigue,Headaches,Muscle Spasms,
752,,,,,,
753,Depression,Pain,Stress,Fatigue,Headaches,
754,Depression,Insomnia,Pain,Stress,Eye Pressure,
755,Depression,Insomnia,Pain,Stress,Fatigue,
756,Depression,Pain,Stress,Fatigue,Headaches,
757,Depression,Pain,Stress,Nausea,Headache,Fatigue
758,Insomnia,Pain,Stress,Headache,Inflammation,Muscle Spasms
759,Depression,Insomnia,Pain,Stress,Headache,Headaches
760,Insomnia,Pain,Stress,Lack of Appetite,Nausea,Headache
761,Insomnia,Cramps,Headaches,Inflammation,Muscle Spasms,
762,Pain,Lack of Appetite,Fatigue,Eye Pressure,Muscle Spasms,
763,Pain,Stress,,,,
764,Depression,Insomnia,Pain,Stress,Lack of Appetite,
765,Depression,Stress,Lack of Appetite,Headaches,Spasticity,
766,Eye Pressure,Spasticity,,,,
767,Stress,,,,,
768,Depression,Insomnia,Pain,Stress,Fatigue,
769,Depression,Pain,Stress,Fatigue,Headaches,
770,Depression,Insomnia,Stress,Lack of Appetite,Headaches,
771,Depression,Insomnia,Pain,Stress,Inflammation,
772,Insomnia,Pain,Stress,Lack of Appetite,Muscle Spasms,
773,Depression,Pain,Stress,Cramps,Headaches,
774,Depression,Insomnia,Pain,Nausea,Inflammation,
775,Depression,Insomnia,Pain,Stress,Inflammation,
776,Depression,Insomnia,Pain,Stress,Inflammation,
778,Depression,Pain,Stress,Lack of Appetite,Headache,Muscle Spasms
779,Depression,Insomnia,Pain,Stress,Cramps,
780,Depression,Insomnia,Nausea,Fatigue,Inflammation,
781,Depression,Insomnia,Pain,Stress,Inflammation,
782,Insomnia,Pain,Stress,Nausea,Headache,Muscle Spasms
783,Depression,Insomnia,Pain,Stress,Headache,Fatigue
784,Depression,Pain,Stress,Nausea,Muscle Spasms,
785,Pain,Stress,Lack of Appetite,Nausea,Muscle Spasms,
786,,,,,,
787,Depression,Insomnia,Pain,Stress,Lack of Appetite,
789,Depression,Stress,Fatigue,Headaches,Eye Pressure,
790,Depression,Insomnia,Pain,Fatigue,Headaches,
791,Stress,,,,,
792,Pain,Stress,Cramps,Headaches,Muscle Spasms,
793,Depression,Pain,Stress,Headaches,Eye Pressure,
795,Depression,Insomnia,Pain,Stress,Headaches,
796,Depression,Pain,Stress,Fatigue,Headaches,
797,Depression,Insomnia,Pain,Stress,Lack of Appetite,
798,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
799,Depression,Insomnia,Pain,Stress,Lack of Appetite,
800,Depression,Pain,Stress,Nausea,Headache,Fatigue
802,Insomnia,Pain,Stress,Fatigue,Inflammation,
803,,,,,,
804,Depression,Pain,Stress,Lack of Appetite,Inflammation,
805,Depression,Insomnia,Lack of Appetite,Headaches,Muscle Spasms,
806,Depression,Pain,Stress,Lack of Appetite,Fatigue,
807,Pain,Stress,Cramps,Fatigue,Headaches,
808,,,,,,
810,Depression,Pain,Stress,Nausea,Headache,Fatigue
811,Insomnia,Pain,Stress,Lack of Appetite,Muscle Spasms,
812,Depression,Stress,Fatigue,Headaches,Inflammation,
813,Depression,Insomnia,Stress,Lack of Appetite,Headache,Fatigue
814,Insomnia,Pain,Stress,Fatigue,Inflammation,
815,Depression,Pain,Stress,Lack of Appetite,Inflammation,
816,Pain,Stress,Lack of Appetite,Fatigue,Headaches,
817,Depression,Insomnia,Stress,Lack of Appetite,Fatigue,
818,Depression,Insomnia,Pain,Stress,Muscle Spasms,
819,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
820,Depression,Insomnia,Pain,Stress,Headaches,
821,Depression,Pain,Stress,Nausea,Headache,Fatigue
822,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
823,Depression,Insomnia,Pain,Stress,Lack of Appetite,
824,Depression,Insomnia,Pain,Stress,Fatigue,
825,Depression,Pain,Stress,Lack of Appetite,Headaches,
826,Depression,Insomnia,Pain,Stress,Eye Pressure,
827,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
828,Depression,Stress,Lack of Appetite,Fatigue,,
829,Depression,Insomnia,Pain,Stress,Muscle Spasms,
830,Insomnia,Pain,Stress,Lack of Appetite,Nausea,Headache
831,Depression,Insomnia,Pain,Stress,Inflammation,
832,Depression,Pain,Stress,Cramps,Muscle Spasms,
833,Depression,Lack of Appetite,Nausea,Fatigue,Muscle Spasms,
834,Depression,Pain,Stress,Nausea,Headaches,
836,Depression,Insomnia,Stress,,,
839,Insomnia,Pain,Inflammation,Seizures,Muscle Spasms,
840,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
841,Depression,Pain,Stress,Headaches,Inflammation,
842,Depression,Pain,Stress,Nausea,Eye Pressure,
843,Depression,Pain,Stress,Headache,Fatigue,Inflammation
844,Pain,Headaches,Inflammation,Seizures,Muscle Spasms,
845,Depression,Insomnia,Pain,Stress,Headaches,
846,Depression,Pain,Headaches,,,
847,Depression,Stress,Lack of Appetite,Fatigue,Headaches,
848,Depression,Insomnia,Pain,Stress,Fatigue,
849,Depression,Insomnia,Pain,Eye Pressure,Inflammation,
850,Depression,Stress,Fatigue,Headaches,Eye Pressure,
851,Depression,Insomnia,Pain,Lack of Appetite,Fatigue,
852,Fatigue,,,,,
853,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
854,Depression,Pain,Stress,Lack of Appetite,Fatigue,
855,Depression,Pain,Lack of Appetite,Fatigue,Muscle Spasms,
856,Depression,Pain,Stress,Headaches,Inflammation,
857,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
858,Depression,Insomnia,Pain,Lack of Appetite,Fatigue,
859,Depression,Insomnia,Pain,Stress,Cramps,
860,Depression,Pain,Stress,Fatigue,Headaches,
861,Insomnia,Pain,Stress,Lack of Appetite,Nausea,Headache
862,Insomnia,Pain,Stress,Headache,Inflammation,Muscle Spasms
863,Depression,Insomnia,Pain,Stress,Lack of Appetite,
864,Depression,Pain,Stress,Lack of Appetite,Inflammation,
865,Depression,Lack of Appetite,Fatigue,Headaches,,
866,Depression,Pain,Stress,Lack of Appetite,Nausea,Headache
867,Depression,Insomnia,Pain,Stress,Fatigue,
868,Depression,Pain,Stress,Lack of Appetite,Inflammation,
869,Insomnia,Pain,Stress,Lack of Appetite,Headaches,
870,Depression,Stress,Lack of Appetite,Nausea,,
871,Depression,Insomnia,Pain,Stress,Headache,Inflammation
872,Depression,Insomnia,Pain,Stress,Nausea,Headache
873,Depression,Pain,Stress,Lack of Appetite,Nausea,
874,Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms
875,Insomnia,Pain,Stress,Lack of Appetite,Nausea,Headache
876,Insomnia,Pain,Stress,Headaches,Inflammation,
877,Depression,Insomnia,Pain,Stress,Inflammation,
878,Depression,Pain,Stress,Nausea,Headaches,
879,Insomnia,Pain,Cramps,Lack of Appetite,Headaches,
880,Pain,Stress,Cramps,Inflammation,Muscle Spasms,
881,Insomnia,Pain,Lack of Appetite,Nausea,Headaches,
882,Depression,Stress,Cramps,Fatigue,Headaches,
883,Depression,Insomnia,Pain,Stress,Fatigue,
884,Depression,Pain,Stress,,,
885,Pain,Stress,Nausea,Fatigue,Eye Pressure,
886,Depression,Pain,Stress,Fatigue,,
887,Depression,Pain,Stress,Fatigue,Headaches,
888,,,,,,
889,Depression,Stress,Lack of Appetite,Fatigue,Inflammation,
890,Insomnia,Stress,Cramps,Fatigue,Headaches,
891,Depression,Pain,Stress,Fatigue,Headaches,
892,Depression,Pain,Stress,Fatigue,Headaches,
894,Insomnia,Pain,Stress,Lack of Appetite,Headache,Headaches
895,Depression,Insomnia,Pain,Stress,Lack of Appetite,
896,Depression,Pain,Stress,Headache,Fatigue,Inflammation
897,Depression,Insomnia,Pain,Stress,Lack of Appetite,
898,Depression,Insomnia,Pain,Stress,Muscle Spasms,
899,Depression,Insomnia,Pain,Stress,Headache,Headaches
900,Depression,Insomnia,Pain,Stress,Lack of Appetite,
901,Depression,Insomnia,Pain,Stress,Inflammation,
902,Pain,Stress,Fatigue,,,
903,Spasticity,,,,,
904,Depression,Pain,Stress,Inflammation,Muscle Spasms,
905,Depression,Pain,Stress,Headaches,Eye Pressure,
906,Depression,Insomnia,Stress,Lack of Appetite,Fatigue,
907,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
908,,,,,,
909,Depression,Insomnia,Pain,Stress,Inflammation,
910,Insomnia,Stress,,,,
911,Depression,Insomnia,Pain,Stress,Headache,Inflammation
912,Pain,Stress,Lack of Appetite,Fatigue,Headaches,
913,Depression,Insomnia,Pain,Stress,Lack of Appetite,
914,Depression,Pain,Stress,Headache,Inflammation,Muscle Spasms
915,Depression,Pain,Stress,Fatigue,Eye Pressure,
916,Depression,Insomnia,Pain,Stress,Headache,Muscle Spasms
917,Insomnia,Pain,Stress,Nausea,Inflammation,
918,Insomnia,Pain,Stress,Cramps,Lack of Appetite,
919,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
920,Depression,Insomnia,Pain,Stress,Headache,Inflammation
921,Depression,Insomnia,Pain,Stress,Nausea,
922,Depression,Insomnia,Pain,Stress,Fatigue,
923,Depression,Pain,Lack of Appetite,Inflammation,Muscle Spasms,
924,Depression,Pain,Stress,Headache,Fatigue,Headaches
925,Depression,Pain,Stress,Inflammation,Muscle Spasms,
926,Depression,Pain,Stress,Headache,Fatigue,Muscle Spasms
927,Insomnia,Stress,Fatigue,Seizures,Muscle Spasms,
928,Depression,Insomnia,Pain,Stress,Headache,Headaches
929,Depression,Stress,Fatigue,Headaches,Inflammation,
930,Depression,Pain,Stress,Headaches,Inflammation,
931,Depression,Stress,Headache,Fatigue,,
932,Depression,Pain,Stress,Nausea,Headache,Muscle Spasms
933,Depression,Insomnia,Pain,Stress,Muscle Spasms,
934,Depression,Pain,Stress,Fatigue,Headaches,
935,Depression,Pain,Stress,Nausea,Headache,Fatigue
936,Insomnia,Pain,Stress,Nausea,Muscle Spasms,
937,Depression,Pain,Stress,Nausea,Headaches,
938,Depression,Pain,Stress,Fatigue,Headaches,
939,Depression,Insomnia,Stress,Lack of Appetite,Fatigue,
940,Depression,Pain,Stress,Headache,Inflammation,Muscle Spasms
941,Depression,Pain,Stress,Lack of Appetite,Nausea,Headache
942,Depression,Insomnia,Pain,Stress,Headache,Fatigue
943,Depression,Pain,Stress,Nausea,Headache,Inflammation
944,Depression,Pain,Stress,Fatigue,Headaches,
945,Depression,Pain,Stress,Cramps,Muscle Spasms,
946,Pain,Muscle Spasms,,,,
947,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
948,Insomnia,Pain,Stress,Lack of Appetite,Headache,Muscle Spasms
949,Insomnia,Pain,Lack of Appetite,Eye Pressure,Muscle Spasms,
950,Depression,Pain,Stress,Headache,Fatigue,Headaches
951,Depression,Pain,Stress,Cramps,Headaches,
952,Depression,Insomnia,Pain,Headaches,Muscle Spasms,
953,,,,,,
954,Depression,Insomnia,Pain,Stress,Lack of Appetite,
957,Depression,Inflammation,Muscle Spasms,,,
958,Depression,Insomnia,Pain,Stress,Muscle Spasms,
959,Depression,Pain,Stress,Lack of Appetite,Fatigue,
960,Depression,Insomnia,Stress,Lack of Appetite,Fatigue,
962,Depression,Insomnia,Pain,Stress,Headache,Inflammation
963,Depression,Insomnia,Pain,Stress,Headaches,
964,,,,,,
965,Depression,Insomnia,Pain,Stress,Lack of Appetite,
966,Depression,Insomnia,Pain,Stress,Inflammation,
967,Insomnia,Pain,Stress,Muscle Spasms,,
968,Depression,Insomnia,Pain,Lack of Appetite,Fatigue,
969,Pain,Stress,Headaches,Inflammation,Muscle Spasms,
971,Pain,Stress,Fatigue,Headaches,Inflammation,
972,Depression,Insomnia,Stress,Headaches,Inflammation,
973,Depression,Pain,Stress,Lack of Appetite,Headache,Inflammation
974,Depression,Insomnia,Pain,Stress,Headache,Headaches
975,Depression,Insomnia,Pain,Stress,Headache,Inflammation
976,Depression,Pain,Stress,Headache,Fatigue,Inflammation
977,Depression,Pain,Stress,Inflammation,Muscle Spasms,
978,,,,,,
979,Pain,Stress,Cramps,Headaches,Inflammation,
980,Depression,Pain,Stress,Lack of Appetite,Fatigue,
981,Pain,Stress,Lack of Appetite,Spasticity,Muscle Spasms,
982,Insomnia,Pain,Stress,Nausea,Headache,Headaches
983,Depression,Stress,Lack of Appetite,Fatigue,Eye Pressure,
984,Depression,Insomnia,Pain,Stress,Lack of Appetite,
985,Depression,Insomnia,Pain,Stress,Eye Pressure,
986,Depression,Pain,Stress,Fatigue,Inflammation,
987,Depression,Pain,Stress,Fatigue,Headaches,
988,Depression,Pain,Stress,Nausea,Headache,Fatigue
989,Depression,Pain,Stress,Lack of Appetite,Fatigue,
990,Depression,Stress,Lack of Appetite,Fatigue,Headaches,
991,Depression,Insomnia,Pain,Stress,Headache,Fatigue
992,Depression,Pain,Stress,Lack of Appetite,Headache,Fatigue
994,Insomnia,Pain,Stress,Fatigue,Headaches,
995,Insomnia,Pain,Stress,Cramps,Lack of Appetite,
996,Depression,Insomnia,Pain,Stress,Nausea,Headache
997,Depression,Stress,Lack of Appetite,Nausea,Headaches,
998,Depression,Insomnia,Pain,Stress,Fatigue,
999,Depression,Insomnia,Stress,Fatigue,Headaches,
1000,Depression,Insomnia,Pain,Stress,Nausea,Headache
1001,,,,,,
1002,Depression,Pain,Stress,Lack of Appetite,Fatigue,
1003,Depression,Pain,Stress,Cramps,Fatigue,
1004,Depression,Pain,Stress,Fatigue,Inflammation,
1006,Depression,Pain,Stress,Lack of Appetite,Nausea,
1007,Depression,Pain,Stress,Headache,Inflammation,Muscle Spasms
1008,Depression,Insomnia,Pain,Stress,Headaches,
1009,Depression,Pain,Stress,Fatigue,Headaches,
1010,Depression,Pain,Stress,Lack of Appetite,Headache,Headaches
1011,,,,,,
1012,Depression,Insomnia,Pain,Stress,Nausea,Headache
1013,Depression,Pain,Stress,Fatigue,Eye Pressure,
1014,Depression,Pain,Stress,Headache,,
1015,Depression,Insomnia,Pain,Stress,Nausea,Headache
1016,Depression,Insomnia,Pain,Stress,Inflammation,
1017,Depression,Pain,Stress,Nausea,Fatigue,
1018,Depression,Pain,Stress,Lack of Appetite,Nausea,Headache
1019,Insomnia,Stress,Eye Pressure,,,
1020,Depression,Insomnia,Pain,Stress,Headache,Headaches
1021,Depression,Stress,Nausea,Fatigue,Headaches,
1022,Depression,Insomnia,Stress,Lack of Appetite,Headaches,
1023,Lack of Appetite,Nausea,Fatigue,Headaches,Eye Pressure,
1024,Depression,Insomnia,Stress,Lack of Appetite,Headaches,
1025,Insomnia,Pain,Stress,Headaches,Inflammation,
1026,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1027,Depression,Stress,Lack of Appetite,Nausea,Headache,Headaches
1028,Depression,Pain,Stress,Nausea,Fatigue,
1029,Depression,Stress,Lack of Appetite,Fatigue,Spasticity,
1030,Depression,Stress,Nausea,Fatigue,Eye Pressure,
1031,Depression,Insomnia,Pain,Stress,Spasticity,
1032,Depression,Insomnia,Pain,Stress,Nausea,Headache
1033,Depression,Insomnia,Pain,Stress,Headache,Spasticity
1034,Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache
1035,Depression,Pain,Stress,Fatigue,Muscle Spasms,
1036,Depression,Insomnia,Pain,Stress,Headache,Inflammation
1037,Depression,Pain,Stress,Fatigue,Muscle Spasms,
1038,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1040,Depression,Insomnia,Pain,Stress,Fatigue,
1041,Depression,Cramps,Fatigue,Headaches,Eye Pressure,
1042,Depression,Pain,Stress,Inflammation,Muscle Spasms,
1043,,,,,,
1044,Depression,Insomnia,Lack of Appetite,Headaches,Inflammation,
1045,Depression,Pain,Stress,Headache,Headaches,Muscle Spasms
1046,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1047,Depression,Insomnia,Pain,Stress,Lack of Appetite,
1048,Insomnia,Pain,Stress,Inflammation,Muscle Spasms,
1049,Depression,Insomnia,Pain,Stress,Fatigue,
1050,Depression,Pain,Stress,Lack of Appetite,Eye Pressure,
1051,Depression,Pain,Stress,Lack of Appetite,Fatigue,
1053,Insomnia,Pain,Stress,Lack of Appetite,Headaches,
1054,Depression,Insomnia,Pain,Stress,Nausea,Headache
1055,Depression,Insomnia,Pain,Stress,Headache,Fatigue
1056,Depression,Insomnia,Pain,Stress,Fatigue,
1057,Depression,Pain,Stress,Nausea,Headache,Headaches
1058,Depression,Pain,Stress,Nausea,Headache,Spasticity
1059,Depression,Pain,Stress,Lack of Appetite,Fatigue,
1060,Depression,Insomnia,Lack of Appetite,Eye Pressure,Inflammation,
1061,Depression,Insomnia,Stress,Lack of Appetite,Headache,Spasticity
1062,Depression,Pain,Stress,Headache,Inflammation,Muscle Spasms
1063,Insomnia,Pain,Stress,Nausea,Muscle Spasms,
1064,Depression,Pain,Stress,Lack of Appetite,Muscle Spasms,
1065,Depression,Insomnia,Stress,Fatigue,Headaches,
1066,Depression,Pain,Stress,Cramps,Nausea,Headache
1068,Depression,Insomnia,Stress,Fatigue,Headaches,
1070,Depression,Insomnia,Pain,Stress,Cramps,
1071,Depression,Stress,Fatigue,,,
1072,Depression,Stress,Cramps,Nausea,Headaches,
1073,Depression,Pain,Stress,Headache,Fatigue,Headaches
1074,Stress,Lack of Appetite,Spasticity,,,
1075,Pain,Stress,Nausea,Headaches,Inflammation,
1076,Depression,Pain,Stress,Headache,Fatigue,Headaches
1078,Depression,Stress,Lack of Appetite,Fatigue,Inflammation,
1079,Insomnia,Pain,Stress,Fatigue,Inflammation,
1080,Depression,Insomnia,Lack of Appetite,Fatigue,Inflammation,
1081,Depression,Insomnia,Pain,Stress,Headache,Fatigue
1082,Depression,Pain,Stress,Lack of Appetite,Fatigue,
1083,Depression,Pain,Stress,Fatigue,Headaches,
1084,Depression,Pain,Stress,Lack of Appetite,Fatigue,
1085,Pain,Stress,Lack of Appetite,Headache,Inflammation,Muscle Spasms
1086,Depression,Pain,Stress,Fatigue,Muscle Spasms,
1087,Depression,Stress,Lack of Appetite,Fatigue,Headaches,
1088,Pain,Stress,Nausea,Fatigue,Headaches,
1089,Depression,Insomnia,Pain,Stress,Fatigue,
1090,Depression,Pain,Stress,Nausea,Headache,Headaches
1091,Depression,Pain,Stress,Nausea,Fatigue,
1092,Depression,Pain,Cramps,Fatigue,Inflammation,
1093,Depression,Insomnia,Stress,Fatigue,Headaches,
1094,Depression,Insomnia,Stress,Lack of Appetite,Headache,Fatigue
1095,Depression,Insomnia,Stress,Nausea,Fatigue,
1096,Depression,Pain,Stress,Headache,Fatigue,Headaches
1097,Pain,,,,,
1098,Depression,Insomnia,Stress,Fatigue,Headaches,
1099,Depression,Pain,Stress,Nausea,Headache,Muscle Spasms
1100,Depression,Pain,Stress,Headache,Inflammation,Muscle Spasms
1101,Depression,Pain,Stress,Nausea,Eye Pressure,
1102,Depression,Stress,Lack of Appetite,Fatigue,Muscle Spasms,
