id,positiveeffects1,positiveeffects2,positiveeffects3,positiveeffects4,positiveeffects5
608,Relaxed,Euphoric,Happy,Creative,Uplifted
609,Relaxed,Euphoric,Happy,Sleepy,Focused
610,Relaxed,Euphoric,Happy,Uplifted,Sleepy
611,Relaxed,Happy,Creative,Sleepy,Giggly
612,Relaxed,Euphoric,Happy,Talkative,
613,Hungry,Euphoric,Creative,Uplifted,Focused
614,Relaxed,Happy,Uplifted,Aroused,
615,Relaxed,Hungry,Happy,Uplifted,
616,Relaxed,Euphoric,Happy,Creative,Focused
617,Euphoric,Happy,Creative,Uplifted,Focused
618,Relaxed,Euphoric,Happy,Uplifted,Sleepy
619,Relaxed,Euphoric,Happy,Uplifted,Sleepy
620,Relaxed,Euphoric,Happy,Creative,Focused
621,Relaxed,Euphoric,Uplifted,Tingly,Giggly
622,Relaxed,Euphoric,Happy,Uplifted,Sleepy
624,Relaxed,Euphoric,Happy,Uplifted,Focused
625,Relaxed,Happy,Uplifted,Giggly,
627,Relaxed,Euphoric,Happy,Uplifted,
628,Relaxed,Euphoric,Happy,Creative,Sleepy
629,Relaxed,Hungry,Euphoric,Happy,Tingly
630,Relaxed,Euphoric,Happy,Focused,Aroused
631,Relaxed,Euphoric,Happy,Focused,
632,Relaxed,Euphoric,Happy,Focused,Giggly
633,Euphoric,Happy,Creative,Uplifted,Focused
634,Hungry,Euphoric,Happy,Creative,Focused
635,Relaxed,Hungry,Sleepy,Giggly,Aroused
636,Relaxed,Euphoric,Happy,Creative,Uplifted
638,Relaxed,Euphoric,Happy,Uplifted,Sleepy
639,Relaxed,Euphoric,Focused,,
640,Relaxed,Euphoric,Happy,Creative,Uplifted
641,Relaxed,Euphoric,Happy,Sleepy,
642,Hungry,Euphoric,Happy,Creative,Energetic
643,Relaxed,Happy,Energetic,Talkative,Uplifted
644,Relaxed,Happy,Energetic,Talkative,Uplifted
645,Relaxed,Happy,Creative,Uplifted,Focused
646,Relaxed,Hungry,Euphoric,Happy,Uplifted
647,Relaxed,Euphoric,Happy,Sleepy,Focused
648,Relaxed,Euphoric,Happy,Talkative,Sleepy
649,Relaxed,Euphoric,Happy,Energetic,Uplifted
650,Relaxed,Euphoric,Happy,Uplifted,Sleepy
651,Relaxed,Hungry,Euphoric,Happy,Sleepy
652,Relaxed,Hungry,Euphoric,Happy,Sleepy
653,Relaxed,Hungry,Euphoric,Happy,Sleepy
654,Relaxed,Euphoric,Happy,Uplifted,Sleepy
655,Relaxed,Sleepy,,,
656,Relaxed,Euphoric,Happy,Energetic,Uplifted
657,Relaxed,Euphoric,Happy,Creative,Uplifted
658,Relaxed,Creative,Sleepy,Focused,
659,Relaxed,Euphoric,Happy,Uplifted,Sleepy
660,Relaxed,Euphoric,Happy,Uplifted,Sleepy
661,Relaxed,Hungry,Euphoric,Happy,Sleepy
662,Relaxed,Happy,Uplifted,Sleepy,Focused
663,Relaxed,Euphoric,Happy,Creative,Sleepy
664,Relaxed,Euphoric,Happy,Tingly,Sleepy
665,Relaxed,Euphoric,Happy,Tingly,Sleepy
666,Euphoric,Happy,Energetic,Uplifted,Focused
667,Relaxed,Happy,Uplifted,Sleepy,Giggly
668,Hungry,Creative,Tingly,Sleepy,
669,Euphoric,Happy,Energetic,Uplifted,Giggly
670,Relaxed,Euphoric,Happy,Focused,
671,Relaxed,Euphoric,Creative,Energetic,Focused
672,Relaxed,Euphoric,Happy,Tingly,Sleepy
673,Relaxed,Hungry,Euphoric,Happy,Sleepy
675,Relaxed,Happy,Creative,Energetic,Focused
676,Euphoric,Happy,Creative,Energetic,Uplifted
677,Relaxed,Sleepy,Focused,Giggly,
678,Relaxed,Happy,Creative,Uplifted,Sleepy
679,Relaxed,Euphoric,Energetic,Talkative,Uplifted
680,Euphoric,Happy,Creative,Energetic,Uplifted
682,Hungry,Euphoric,Energetic,Uplifted,
683,Euphoric,Happy,Creative,Energetic,Uplifted
684,Relaxed,Euphoric,Creative,Talkative,Giggly
685,Euphoric,Happy,Energetic,Talkative,Uplifted
687,Relaxed,Hungry,Euphoric,Happy,Sleepy
688,Relaxed,Happy,Uplifted,Focused,Aroused
689,Relaxed,Euphoric,Creative,Energetic,
690,Relaxed,Euphoric,Happy,Uplifted,Giggly
691,Creative,Energetic,,,
693,Relaxed,Euphoric,Happy,Creative,Uplifted
694,Relaxed,Euphoric,Energetic,Talkative,
695,Relaxed,Euphoric,Creative,Energetic,
696,Relaxed,Euphoric,Creative,Uplifted,
697,Euphoric,Happy,Energetic,Uplifted,Focused
698,Relaxed,Euphoric,Happy,Uplifted,
699,Relaxed,Euphoric,Uplifted,Focused,Giggly
700,Relaxed,Euphoric,Creative,Focused,
701,Relaxed,Happy,Creative,Energetic,Focused
702,Relaxed,Euphoric,Happy,Creative,Uplifted
703,Hungry,Euphoric,Happy,Uplifted,
705,Relaxed,Happy,Creative,Talkative,Focused
706,Relaxed,Creative,Sleepy,,
707,Relaxed,Euphoric,Happy,Creative,Uplifted
710,Relaxed,Euphoric,Happy,Creative,Focused
711,Relaxed,Euphoric,Happy,Creative,Tingly
712,Euphoric,Happy,Creative,Energetic,Uplifted
713,Relaxed,Euphoric,Happy,Creative,Uplifted
714,Relaxed,Happy,Energetic,Uplifted,Aroused
715,Relaxed,Happy,Talkative,Focused,
716,Relaxed,Happy,Creative,Energetic,Focused
717,Creative,Energetic,Talkative,Uplifted,
718,Relaxed,Hungry,Euphoric,Happy,Sleepy
719,Relaxed,Euphoric,Happy,Uplifted,
720,Relaxed,Happy,Energetic,Uplifted,Aroused
721,Relaxed,Euphoric,Happy,Uplifted,Aroused
722,Euphoric,Happy,Creative,Talkative,Uplifted
723,Relaxed,Hungry,Creative,Talkative,Uplifted
724,Euphoric,Happy,Energetic,Uplifted,Giggly
725,Happy,Creative,Energetic,Uplifted,Focused
726,Relaxed,Happy,Creative,Energetic,Focused
727,Relaxed,Hungry,Euphoric,Uplifted,Giggly
728,Relaxed,Happy,Energetic,Uplifted,Focused
729,Euphoric,Happy,Energetic,Uplifted,Focused
730,Relaxed,Happy,Talkative,Sleepy,Giggly
731,Relaxed,Hungry,Tingly,Focused,Aroused
732,Euphoric,Happy,Energetic,Uplifted,Giggly
733,Relaxed,Euphoric,Happy,Energetic,Uplifted
734,Happy,Creative,Energetic,Focused,Aroused
735,Relaxed,Hungry,Euphoric,Sleepy,Giggly
736,Relaxed,Euphoric,Happy,Energetic,
737,Euphoric,Happy,Creative,Talkative,Uplifted
738,Relaxed,Euphoric,Happy,Creative,Uplifted
739,Relaxed,Euphoric,Happy,Energetic,Uplifted
740,Relaxed,Euphoric,Happy,Uplifted,Giggly
741,Relaxed,Hungry,Euphoric,Happy,Uplifted
742,Relaxed,Happy,Creative,Talkative,Uplifted
743,Relaxed,Euphoric,Creative,Aroused,
744,Relaxed,Hungry,Happy,Talkative,
745,Relaxed,Euphoric,Happy,Energetic,Focused
746,Happy,Creative,Talkative,Sleepy,
747,Relaxed,Euphoric,Happy,Uplifted,Focused
748,Euphoric,Happy,Creative,Energetic,Aroused
749,Euphoric,Creative,Energetic,Uplifted,Focused
750,Euphoric,Happy,Energetic,Uplifted,Focused
751,Relaxed,Happy,Sleepy,,
752,Relaxed,Euphoric,Tingly,Sleepy,Aroused
753,Relaxed,Euphoric,Happy,Creative,Uplifted
754,Relaxed,Hungry,Creative,Talkative,Focused
755,Relaxed,Euphoric,Happy,Creative,Energetic
756,Relaxed,Euphoric,Energetic,Uplifted,Focused
757,Relaxed,Hungry,Happy,Sleepy,
758,Relaxed,Euphoric,Happy,Uplifted,Sleepy
759,Relaxed,Euphoric,Creative,Tingly,Sleepy
760,Relaxed,Happy,Talkative,Uplifted,Sleepy
761,Relaxed,Happy,Tingly,Aroused,
762,Relaxed,Hungry,Happy,Sleepy,Giggly
763,Relaxed,Euphoric,Creative,Uplifted,Sleepy
764,Euphoric,Happy,Creative,Talkative,Uplifted
765,Relaxed,Euphoric,Energetic,Uplifted,Focused
766,Relaxed,Happy,Creative,Energetic,Focused
767,Relaxed,Happy,Creative,Focused,
768,Relaxed,Creative,Talkative,Uplifted,
769,Euphoric,Happy,Creative,Energetic,Focused
770,Relaxed,Euphoric,Happy,Uplifted,Sleepy
771,Relaxed,Euphoric,Happy,Uplifted,Giggly
772,Relaxed,Hungry,Euphoric,Happy,Sleepy
773,Relaxed,Hungry,Happy,Sleepy,Aroused
774,Relaxed,Hungry,Happy,Creative,Giggly
775,Relaxed,Euphoric,Happy,Uplifted,Sleepy
776,Relaxed,Hungry,Euphoric,Happy,Sleepy
778,Relaxed,Hungry,Euphoric,Happy,Talkative
779,Relaxed,Happy,Creative,Tingly,Sleepy
780,Relaxed,Hungry,Euphoric,Creative,Uplifted
781,Relaxed,Euphoric,Happy,Tingly,Sleepy
782,Relaxed,Euphoric,Happy,Sleepy,
783,Relaxed,Euphoric,Happy,Uplifted,Giggly
784,Relaxed,Hungry,Happy,Uplifted,Giggly
785,Relaxed,Hungry,Happy,Sleepy,
786,Relaxed,Sleepy,,,
787,Relaxed,Hungry,Euphoric,Happy,Sleepy
789,Relaxed,Happy,Creative,,
790,Happy,Creative,Energetic,Talkative,Uplifted
791,Euphoric,Happy,Creative,Energetic,Uplifted
792,Hungry,Happy,Creative,Focused,Giggly
793,Relaxed,Euphoric,Happy,Creative,Giggly
795,Relaxed,Euphoric,Happy,Uplifted,Focused
796,Relaxed,Euphoric,Happy,Uplifted,Focused
797,Relaxed,Euphoric,Happy,Uplifted,Sleepy
798,Relaxed,Happy,Energetic,Uplifted,Tingly
799,Relaxed,Euphoric,Happy,Uplifted,Tingly
800,Relaxed,Happy,Creative,Energetic,Uplifted
802,Relaxed,Euphoric,Happy,Creative,Focused
803,Euphoric,Happy,Creative,Energetic,
804,Relaxed,Euphoric,Happy,Creative,Focused
805,Creative,Energetic,Talkative,Uplifted,Aroused
806,Relaxed,Euphoric,Happy,Creative,Energetic
807,Euphoric,Happy,Energetic,Focused,Aroused
808,Relaxed,Hungry,Euphoric,Happy,Sleepy
810,Relaxed,Hungry,Euphoric,Happy,Giggly
811,Relaxed,Euphoric,Happy,Talkative,Sleepy
812,Relaxed,Hungry,Euphoric,Happy,
813,Relaxed,Happy,Sleepy,Giggly,
814,Relaxed,Happy,Creative,Uplifted,Sleepy
815,Relaxed,Euphoric,Happy,Tingly,Giggly
816,Hungry,Euphoric,Happy,Creative,Uplifted
817,Relaxed,Happy,Uplifted,Sleepy,Focused
818,Relaxed,Euphoric,Happy,Uplifted,Giggly
819,Relaxed,Euphoric,Happy,Creative,Uplifted
820,Relaxed,Hungry,Happy,Creative,Uplifted
821,Euphoric,Happy,Energetic,Talkative,Uplifted
822,Relaxed,Euphoric,Happy,Energetic,Sleepy
823,Relaxed,Euphoric,Happy,Talkative,Uplifted
824,Relaxed,Euphoric,Happy,Uplifted,Giggly
825,Relaxed,Hungry,Happy,Creative,Sleepy
826,Relaxed,Euphoric,Happy,,
827,Relaxed,Happy,Sleepy,Giggly,
828,Hungry,Happy,Energetic,Uplifted,Aroused
829,Hungry,Happy,Energetic,Uplifted,Giggly
830,Relaxed,Happy,Tingly,Sleepy,Giggly
831,Relaxed,Euphoric,Happy,Uplifted,Sleepy
832,Euphoric,Happy,Creative,Uplifted,Aroused
833,Euphoric,Happy,Creative,Energetic,Focused
834,Relaxed,Happy,Uplifted,,
836,Euphoric,Happy,Creative,Uplifted,
839,Relaxed,Euphoric,Happy,Energetic,Sleepy
840,Relaxed,Euphoric,Happy,Uplifted,Sleepy
841,Relaxed,Euphoric,Happy,Creative,Focused
842,Relaxed,Euphoric,Happy,Creative,Uplifted
843,Euphoric,Creative,Energetic,Tingly,Focused
844,Euphoric,Happy,Creative,Energetic,Focused
845,Relaxed,Euphoric,Happy,Creative,Giggly
846,Hungry,Happy,Energetic,Focused,Giggly
847,Relaxed,Happy,Energetic,Uplifted,Focused
848,Relaxed,Happy,Uplifted,Sleepy,
849,Happy,Sleepy,Focused,,
850,Relaxed,Euphoric,Happy,Creative,Uplifted
851,Relaxed,Creative,Giggly,Aroused,
852,Relaxed,Hungry,Sleepy,Focused,
853,Relaxed,Euphoric,Happy,Creative,Uplifted
854,Relaxed,Hungry,Euphoric,Happy,Focused
855,Relaxed,Euphoric,Happy,Energetic,Uplifted
856,Relaxed,Euphoric,Happy,Energetic,Uplifted
857,Relaxed,Euphoric,Happy,Uplifted,
858,Happy,Creative,Talkative,Uplifted,Focused
859,Relaxed,Euphoric,Happy,Tingly,Sleepy
860,Euphoric,Happy,Energetic,Uplifted,Focused
861,Relaxed,Hungry,Sleepy,,
862,Relaxed,Euphoric,Happy,Tingly,Aroused
863,Relaxed,Euphoric,Happy,Creative,Uplifted
864,Relaxed,Euphoric,Creative,Energetic,Focused
865,Euphoric,Happy,Creative,Energetic,Uplifted
866,Relaxed,Euphoric,Happy,Uplifted,Giggly
867,Happy,Energetic,Uplifted,Focused,
868,Relaxed,Euphoric,Energetic,Uplifted,Focused
869,Relaxed,Hungry,Euphoric,Happy,Sleepy
870,Relaxed,Hungry,Happy,Uplifted,Focused
871,Relaxed,Euphoric,Happy,Uplifted,Sleepy
872,Relaxed,Euphoric,Happy,Uplifted,Sleepy
873,Relaxed,Euphoric,Happy,Energetic,Uplifted
874,Relaxed,Euphoric,Happy,Sleepy,Giggly
875,Relaxed,Hungry,Euphoric,Happy,Sleepy
876,Relaxed,Euphoric,Happy,Talkative,Sleepy
877,Relaxed,Euphoric,Happy,Sleepy,
878,Relaxed,Euphoric,Happy,Creative,Uplifted
879,Relaxed,Euphoric,Happy,Creative,Tingly
880,Relaxed,Euphoric,Happy,Talkative,Uplifted
881,Relaxed,Hungry,Sleepy,,
882,Relaxed,Euphoric,Creative,Uplifted,Focused
883,Relaxed,Euphoric,Happy,Energetic,Uplifted
884,Happy,Creative,Energetic,Aroused,
885,Euphoric,Tingly,,,
886,Euphoric,Happy,Energetic,Focused,Aroused
887,Relaxed,Euphoric,Happy,Energetic,Uplifted
888,Relaxed,Euphoric,Happy,Tingly,Giggly
889,Euphoric,Happy,Creative,Uplifted,Focused
890,Relaxed,Hungry,Euphoric,Happy,Uplifted
891,Relaxed,Euphoric,Happy,Energetic,Uplifted
892,Relaxed,Euphoric,Happy,Uplifted,Focused
894,Relaxed,Hungry,Euphoric,Happy,Sleepy
895,Relaxed,Euphoric,Happy,Sleepy,Giggly
896,Relaxed,Happy,Energetic,Uplifted,Focused
897,Relaxed,Hungry,Euphoric,Happy,Sleepy
898,Relaxed,Euphoric,Happy,Uplifted,Sleepy
899,Relaxed,Euphoric,Happy,Uplifted,Sleepy
900,Relaxed,Euphoric,Happy,Uplifted,Sleepy
901,Relaxed,Euphoric,Happy,Tingly,Sleepy
902,Happy,Creative,Focused,Aroused,
903,Relaxed,Euphoric,,,
904,Relaxed,Hungry,Euphoric,Happy,
905,Relaxed,Euphoric,Happy,Sleepy,
906,Relaxed,Euphoric,Uplifted,Focused,Giggly
907,Relaxed,Hungry,Euphoric,Happy,Sleepy
908,Euphoric,Happy,Giggly,,
909,Relaxed,Euphoric,Happy,Uplifted,
910,Relaxed,Euphoric,Creative,Uplifted,Sleepy
911,Relaxed,Euphoric,Happy,Uplifted,Sleepy
912,Relaxed,Hungry,Euphoric,Happy,Creative
913,Relaxed,Euphoric,Happy,Uplifted,Sleepy
914,Relaxed,Hungry,Euphoric,Creative,Uplifted
915,Relaxed,Euphoric,Happy,Creative,Giggly
916,Relaxed,Euphoric,Happy,Uplifted,Sleepy
917,Relaxed,Happy,Sleepy,,
918,Relaxed,Hungry,Euphoric,Uplifted,Sleepy
919,Relaxed,Euphoric,Happy,Uplifted,Sleepy
920,Hungry,Uplifted,Tingly,Sleepy,
921,Relaxed,Happy,Uplifted,Focused,Giggly
922,Relaxed,Euphoric,Happy,Uplifted,Focused
923,Relaxed,Hungry,Euphoric,Creative,Sleepy
924,Euphoric,Happy,Creative,Energetic,Uplifted
925,Relaxed,Euphoric,Happy,Talkative,Giggly
926,Euphoric,Happy,Energetic,Uplifted,
927,Relaxed,Hungry,Euphoric,Happy,Uplifted
928,Relaxed,Hungry,Euphoric,Sleepy,Aroused
929,Relaxed,Hungry,Euphoric,Happy,
930,Relaxed,Euphoric,Happy,Creative,Uplifted
931,Euphoric,Happy,Creative,Energetic,Uplifted
932,Relaxed,Euphoric,Happy,Energetic,Uplifted
933,Relaxed,Euphoric,Creative,Energetic,Sleepy
934,Happy,Creative,Energetic,Uplifted,Focused
935,Creative,Energetic,Talkative,Uplifted,Focused
936,Relaxed,Euphoric,Happy,Creative,
937,Relaxed,Euphoric,Happy,Uplifted,Sleepy
938,Relaxed,Euphoric,Happy,Creative,Energetic
939,Euphoric,Happy,Creative,Uplifted,Focused
940,Relaxed,Euphoric,Happy,Uplifted,Focused
941,Euphoric,Happy,Talkative,Uplifted,Focused
942,Relaxed,Euphoric,Happy,Uplifted,Giggly
943,Relaxed,Hungry,Happy,Focused,
944,Hungry,Euphoric,Creative,Uplifted,Focused
945,Relaxed,Happy,Energetic,Uplifted,Aroused
946,Euphoric,Happy,Creative,Uplifted,
947,Relaxed,Euphoric,Happy,Sleepy,Giggly
948,Relaxed,Hungry,Euphoric,Happy,Energetic
949,Relaxed,Euphoric,Happy,Sleepy,
950,Relaxed,Happy,Energetic,Uplifted,Focused
951,Happy,Energetic,Talkative,Uplifted,Focused
952,Relaxed,Hungry,Euphoric,Happy,Uplifted
953,Euphoric,Creative,Energetic,Focused,
954,Relaxed,Hungry,Euphoric,Happy,Sleepy
957,Relaxed,Euphoric,Happy,,
958,Relaxed,Happy,Creative,Uplifted,Focused
959,Relaxed,Euphoric,Happy,Uplifted,Focused
960,Relaxed,Euphoric,Happy,Uplifted,
962,Relaxed,Euphoric,Happy,Uplifted,Sleepy
963,Relaxed,Euphoric,Uplifted,Tingly,
964,Relaxed,Euphoric,Happy,Giggly,
965,Relaxed,Hungry,Happy,Sleepy,Aroused
966,Euphoric,Happy,Uplifted,Sleepy,Focused
967,Relaxed,Creative,Giggly,,
968,Relaxed,Hungry,Euphoric,Giggly,
969,Relaxed,Euphoric,Happy,Talkative,Uplifted
971,Relaxed,Euphoric,Happy,Creative,Uplifted
972,Relaxed,Hungry,Happy,Sleepy,
973,Relaxed,Euphoric,Happy,Uplifted,Tingly
974,Relaxed,Euphoric,Happy,Uplifted,Sleepy
975,Relaxed,Euphoric,Happy,Uplifted,Focused
976,Relaxed,Happy,Energetic,Uplifted,Focused
977,Relaxed,Euphoric,Happy,Creative,Uplifted
978,Relaxed,Euphoric,Creative,Energetic,
979,Relaxed,Happy,Creative,Uplifted,Focused
980,Relaxed,Euphoric,Happy,Creative,Uplifted
981,Relaxed,Hungry,Happy,Creative,Giggly
982,Relaxed,Hungry,Happy,Sleepy,
983,Relaxed,Euphoric,Happy,Creative,Uplifted
984,Relaxed,Hungry,Euphoric,Happy,Uplifted
985,Relaxed,Euphoric,Happy,Energetic,Uplifted
986,Relaxed,Happy,Energetic,Talkative,Uplifted
987,Relaxed,Happy,Creative,Energetic,Aroused
988,Relaxed,Hungry,Happy,Aroused,
989,Relaxed,Happy,Creative,Uplifted,Aroused
990,Relaxed,Euphoric,Happy,Uplifted,Focused
991,Relaxed,Euphoric,Happy,Energetic,Uplifted
992,Relaxed,Euphoric,Talkative,Uplifted,Tingly
994,Relaxed,Euphoric,Happy,Energetic,Tingly
995,Relaxed,Happy,Creative,Giggly,
996,Relaxed,Euphoric,Happy,Uplifted,
997,Euphoric,Happy,Creative,Energetic,Uplifted
998,Euphoric,Happy,Creative,Energetic,Uplifted
999,Relaxed,Euphoric,Happy,Uplifted,Tingly
1000,Relaxed,Euphoric,Happy,Talkative,
1001,Relaxed,Euphoric,Happy,Creative,Aroused
1002,Euphoric,Happy,Creative,Energetic,Uplifted
1003,Relaxed,Happy,Energetic,Uplifted,Giggly
1004,Happy,Creative,Energetic,Talkative,Uplifted
1006,Euphoric,Happy,Creative,Uplifted,Focused
1007,Relaxed,Euphoric,Happy,Creative,Uplifted
1008,Relaxed,Happy,Uplifted,Sleepy,Focused
1009,Relaxed,Euphoric,Happy,Creative,Uplifted
1010,Relaxed,Sleepy,Giggly,,
1011,Euphoric,Creative,Energetic,Focused,
1012,Relaxed,Euphoric,Happy,Tingly,Sleepy
1013,Relaxed,Euphoric,Happy,Energetic,Uplifted
1014,Relaxed,Euphoric,Happy,Talkative,Uplifted
1015,Relaxed,Hungry,Euphoric,Happy,Creative
1016,Relaxed,Hungry,Euphoric,Happy,Sleepy
1017,Relaxed,Happy,Creative,Uplifted,Focused
1018,Euphoric,Happy,Creative,Energetic,Uplifted
1019,Happy,Creative,Energetic,Focused,Giggly
1020,Relaxed,Euphoric,Happy,Uplifted,Sleepy
1021,Relaxed,Euphoric,Happy,Energetic,Uplifted
1022,Relaxed,Happy,Creative,Uplifted,Focused
1023,Relaxed,Euphoric,Happy,Focused,Giggly
1024,Relaxed,Euphoric,Happy,Tingly,Sleepy
1025,Relaxed,Euphoric,Happy,Sleepy,
1026,Relaxed,Hungry,Euphoric,Happy,Sleepy
1027,Relaxed,Euphoric,Happy,Energetic,Giggly
1028,Euphoric,Happy,Creative,Uplifted,Giggly
1029,Happy,Creative,Energetic,Uplifted,
1030,Hungry,Euphoric,Happy,Creative,Focused
1031,Happy,Uplifted,Tingly,Focused,
1032,Relaxed,Euphoric,Happy,Talkative,Sleepy
1033,Relaxed,Euphoric,Happy,Creative,Uplifted
1034,Relaxed,Happy,Energetic,Focused,
1035,Relaxed,Creative,Tingly,Giggly,
1036,Relaxed,Euphoric,Happy,Creative,Uplifted
1037,Relaxed,Euphoric,Happy,Uplifted,Giggly
1038,Relaxed,Euphoric,Tingly,Sleepy,
1040,Relaxed,Euphoric,Happy,Creative,Energetic
1041,Euphoric,Happy,Creative,Energetic,Focused
1042,Relaxed,Euphoric,Happy,Uplifted,Giggly
1043,Relaxed,Euphoric,Happy,Creative,
1044,Relaxed,Euphoric,Happy,Tingly,Aroused
1045,Euphoric,Happy,Creative,Uplifted,
1046,Relaxed,Happy,Creative,Uplifted,
1047,Relaxed,Euphoric,Happy,Sleepy,
1048,Relaxed,Hungry,Happy,Uplifted,Sleepy
1049,Relaxed,Happy,Energetic,Uplifted,Focused
1050,Relaxed,Euphoric,Happy,Energetic,Sleepy
1051,Relaxed,Euphoric,Happy,Creative,Uplifted
1053,Relaxed,Happy,Sleepy,,
1054,Relaxed,Euphoric,Happy,Uplifted,Focused
1055,Relaxed,Euphoric,Happy,Uplifted,Focused
1056,Relaxed,Euphoric,Happy,,
1057,Relaxed,Euphoric,Happy,Energetic,Uplifted
1058,Relaxed,Euphoric,Happy,Tingly,
1059,Relaxed,Euphoric,Happy,Talkative,Giggly
1060,Euphoric,Happy,Giggly,,
1061,Relaxed,Hungry,Happy,Tingly,Sleepy
1062,Relaxed,Euphoric,Creative,Uplifted,Focused
1063,Relaxed,Euphoric,Happy,Sleepy,Focused
1064,Relaxed,Euphoric,Happy,Creative,Uplifted
1065,Euphoric,Happy,Creative,Energetic,Uplifted
1066,Relaxed,Hungry,Euphoric,Happy,Sleepy
1068,Relaxed,Happy,Energetic,Uplifted,Focused
1070,Hungry,Happy,Uplifted,Tingly,Giggly
1071,Euphoric,Creative,Energetic,Uplifted,
1072,Euphoric,Creative,Uplifted,Tingly,
1073,Euphoric,Happy,Energetic,Uplifted,Focused
1074,Relaxed,Hungry,Focused,,
1075,Euphoric,Creative,Energetic,Uplifted,Focused
1076,Relaxed,Euphoric,Happy,Energetic,Uplifted
1078,Relaxed,Euphoric,Happy,Creative,Energetic
1079,Euphoric,Creative,Focused,Aroused,
1080,Euphoric,Happy,Energetic,Focused,Giggly
1081,Relaxed,Euphoric,Happy,Energetic,Uplifted
1082,Relaxed,Euphoric,Happy,Energetic,Uplifted
1083,Happy,Creative,Energetic,Talkative,Uplifted
1084,Euphoric,Happy,Creative,Energetic,Uplifted
1085,Relaxed,Hungry,Euphoric,Happy,Uplifted
1086,Relaxed,Euphoric,Happy,Creative,Energetic
1087,Relaxed,Happy,Energetic,Uplifted,Focused
1088,Euphoric,Happy,Creative,Energetic,Uplifted
1089,Euphoric,Creative,Energetic,Uplifted,Focused
1090,Euphoric,Happy,Energetic,Talkative,Uplifted
1091,Euphoric,Energetic,Talkative,Uplifted,Focused
1092,Euphoric,Happy,Creative,Uplifted,Focused
1093,Relaxed,Happy,Sleepy,Aroused,
1094,Hungry,Creative,Energetic,Focused,Aroused
1095,Relaxed,Happy,Energetic,Uplifted,Focused
1096,Relaxed,Happy,Energetic,Uplifted,Focused
1097,Euphoric,Happy,Creative,Energetic,Aroused
1098,Euphoric,Happy,Energetic,Talkative,Uplifted
1099,Relaxed,Euphoric,Happy,Talkative,Uplifted
1100,Relaxed,Happy,Energetic,Uplifted,
1101,Relaxed,Euphoric,Happy,Energetic,Sleepy
1102,Happy,Energetic,Talkative,Tingly,Giggly
1103,Relaxed,Euphoric,Happy,Tingly,Giggly
1104,Relaxed,Hungry,Euphoric,Happy,Sleepy
1105,Relaxed,Euphoric,Happy,Sleepy,
1106,Euphoric,Happy,Creative,Energetic,Uplifted
1107,Euphoric,Happy,Energetic,Talkative,Uplifted
1108,Relaxed,Euphoric,Happy,Uplifted,Sleepy
1109,Relaxed,Happy,Tingly,,
1110,Relaxed,Euphoric,Happy,Creative,Energetic
1111,Relaxed,Euphoric,Happy,Creative,Focused
1112,Relaxed,Euphoric,Happy,Creative,
1113,Relaxed,Euphoric,Happy,Creative,Uplifted
1114,Relaxed,Euphoric,Happy,Creative,Uplifted
1115,Relaxed,Happy,Energetic,Uplifted,Focused
1117,Euphoric,Happy,Creative,Energetic,Uplifted
1118,Relaxed,Euphoric,Happy,Creative,Uplifted
1119,Hungry,Euphoric,Happy,Energetic,Aroused
1120,Relaxed,Hungry,Euphoric,Happy,Tingly
1121,Relaxed,Euphoric,Happy,Tingly,Giggly
1122,Aroused,,,,
1123,Relaxed,Euphoric,Happy,Uplifted,Sleepy
1124,Relaxed,Euphoric,Happy,Energetic,Uplifted
1125,Euphoric,Happy,Creative,Energetic,Uplifted
1126,Relaxed,Euphoric,Happy,Energetic,Focused
1127,Relaxed,Euphoric,Happy,Uplifted,Focused
1128,Relaxed,Happy,Creative,Energetic,Sleepy
1129,Relaxed,Hungry,Euphoric,Happy,Sleepy
1130,Relaxed,Euphoric,Happy,Creative,Uplifted
1131,Happy,Energetic,Uplifted,Focused,Giggly
1132,Relaxed,Hungry,Happy,Sleepy,
1133,Relaxed,Hungry,Euphoric,Happy,Focused
1134,Relaxed,Uplifted,Sleepy,,
1135,Relaxed,Happy,Creative,Uplifted,Tingly
1136,Happy,Energetic,Talkative,Uplifted,Focused
1137,Relaxed,Euphoric,Creative,Uplifted,Focused
1138,Relaxed,Happy,Creative,Energetic,Uplifted
1139,Euphoric,Happy,Energetic,Tingly,Aroused
1140,Euphoric,Happy,Talkative,Uplifted,Focused
1142,Euphoric,Happy,Creative,Energetic,Uplifted
1143,Relaxed,Euphoric,Happy,Creative,Sleepy
1144,Relaxed,Happy,Energetic,Uplifted,Sleepy
1145,Happy,Creative,Energetic,Uplifted,Focused
1146,Relaxed,Euphoric,Sleepy,Giggly,
1147,Relaxed,Euphoric,Happy,Creative,Uplifted
1148,Relaxed,Euphoric,Happy,Uplifted,Giggly
1149,Relaxed,Happy,Creative,Uplifted,Focused
1150,Relaxed,Euphoric,Happy,Tingly,
1151,Relaxed,Euphoric,Happy,Sleepy,Giggly
1152,Happy,Creative,Energetic,Uplifted,Focused
1153,Euphoric,Happy,Energetic,Talkative,Aroused
1154,Relaxed,Euphoric,Happy,Focused,Giggly
1155,Relaxed,Hungry,Happy,Energetic,Focused
1156,Relaxed,Euphoric,Happy,Focused,
